Department,ID,Date,Description,Qty,Retail,Subtotal,Discount,Tax,Total
Refrigerated,850781,3/16/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,850781,3/16/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,851257,3/21/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.4,0,3.59
Refrigerated,851259,3/21/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0,0,3.99
Refrigerated,851430,3/23/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,851430,3/23/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,851544,3/24/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,851603,3/25/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,851632,3/25/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0,0,3.99
Refrigerated,851740,3/26/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
