Department,ID,Date,Description,Qty,Retail,Subtotal,Discount,Tax,Total
Refrigerated,851781,3/27/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,852141,3/30/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,852386,4/2/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,852386,4/2/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,852401,4/3/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,852850,4/6/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0,0,3.99
Refrigerated,853291,4/11/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.4,0,3.59
Refrigerated,853450,4/13/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,853450,4/13/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
Refrigerated,853450,4/13/2024,Soy Boy Tofu Extra- firm 15oz,1,3.99,3.99,0.2,0,3.79
